Compound	InChI-Key
UDP-&alpha;-D-glucose	InChIKey=HSCJRCZFDFQWRP-JZMIEXBBSA-L
ethene	InChIKey=VGGSQFUCUMXWEO-UHFFFAOYSA-N
2-18:1-lysophosphatidylglycerol	InChIKey=UJUVFUFXJONDDC-SNZQZGEVSA-M
<i>aldehydo</i>-D-ribose	InChIKey=PYMYPHUHKUWMLA-LMVFSUKVSA-N
nitrite	InChIKey=IOVCWXUNBOPUCH-UHFFFAOYSA-M
hydroxylamine	InChIKey=AVXURJPOCDRRFD-UHFFFAOYSA-N
2-<I>O</I>-(6-phospho-&alpha;-D-mannosyl)-D-glycerate	InChIKey=BOLXAGHGKNGVBE-MTXRGOKVSA-K
[acyl-carrier protein]-group	
4-aminobutanoate	InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N
NADP<sup>+</sup>	InChIKey=XJLXINKUBYWONI-NNYOXOHSSA-K
a-dxyl-PEN-1:5	
methamphetamine	InChIKey=MYWUZJCMWCOHBA-VIFPVBQESA-O
carbonate	InChIKey=BVKZGUZCCUSVTD-UHFFFAOYSA-L
x-dgro-dgal-NON-2:6|1:a|2:keto|3:d	
3''-<i>O</i>-acetyl-ADP-ribose	InChIKey=HNHCIVXQBMBKPQ-YDKGJHSESA-L
palmitoleate	InChIKey=SECPZKHBENQXJG-FPLPWBNLSA-M
cholesteryl-&beta;-D-glucoside	InChIKey=FSMCJUNYLQOAIM-UQBZCTSOSA-N
uridine 2'-monophosphate	InChIKey=HQIDPEYTETUCNF-XVFCMESISA-L
bisorganyltrisulfane	InChIKey=IMZRQZICOZIGNP-UHFFFAOYSA-L
b-lido-HEX-1:5|6:a	
urea	InChIKey=XSQUKJJJFZCRTK-UHFFFAOYSA-N
histidinol	InChIKey=ZQISRDCJNBUVMM-YFKPBYRVSA-O
pyruvic oxime	InChIKey=MVGBKLTYYAYYGY-DUXPYHPUSA-M
GLYCO-CT-N-SULFATE	
dimethylarsinic acid	InChIKey=OGGXGZAMXPVRFZ-UHFFFAOYSA-N
1-arachidinoyl-<i>sn</i>-glycerol 3-phosphate	InChIKey=XBFQFMCUPHZKTI-NZRYSPDRSA-L
carbonic acid	InChIKey=BVKZGUZCCUSVTD-UHFFFAOYSA-N
palmitoyl-CoA	InChIKey=MNBKLUUYKPBKDU-BBECNAHFSA-J
dTMP	InChIKey=GYOZYWVXFNDGLU-XLPZGREQSA-L
b-dido-HEX-1:5|6:a	
&alpha;-L-galactopyranose	InChIKey=WQZGKKKJIJFFOK-SXUWKVJYSA-N
phytate	InChIKey=IMQLKJBTEOYOSI-GPIVLXJGSA-B
b-HEX-1:5	
(3<i>E</i>,5<i>Z</i>)-tetradeca-3,5-dienoyl-CoA	InChIKey=QADUDNMSWUFMGZ-ROGIYNEGSA-J
5-amino-6-(5-phospho-D-ribitylamino)uracil	InChIKey=RQRINYISXYAZKL-RPDRRWSUSA-L
copper-bound copper ligand	
ergosterol	InChIKey=DNVPQKQSNYMLRS-APGDWVJJSA-N
3-methylbutyl acetate	InChIKey=MLFHJEHSLIIPHL-UHFFFAOYSA-N
L-carnitine	InChIKey=PHIQHXFUZVPYII-ZCFIWIBFSA-N
ferroheme <i>a</i>	InChIKey=ZGGYGTCPXNDTRV-PRYGPKJJSA-J
D-hexose 6-phosphate	InChIKey=NBSCHQHZLSJFNQ-UHFFFAOYSA-L
dioxygen	InChIKey=MYMOFIZGZYHOMD-UHFFFAOYSA-N
2,3-diphospho-D-glycerate	InChIKey=XOHUEYCVLUUEJJ-UWTATZPHSA-I
ethanol	InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N
Li<sup>+</sup>	InChIKey=HBBGRARXTFLTSG-UHFFFAOYSA-N
indole	InChIKey=SIKJAQJRHWYJAI-UHFFFAOYSA-N
a hydroxyl group	
dTDP	InChIKey=UJLXYODCHAELLY-XLPZGREQSA-K
prenyl diphosphate	InChIKey=CBIDRCWHNCKSTO-UHFFFAOYSA-K
L-arabinitol	InChIKey=HEBKCHPVOIAQTA-IMJSIDKUSA-N
&alpha;-D-galacturonosyl-(1&rarr;4)-&alpha;-D-galacturonate	InChIKey=IGSYEZFZPOZFNC-MMGXBETBSA-L
(<i>R</i>)-2-hydroxyglutarate	InChIKey=HWXBTNAVRSUOJR-GSVOUGTGSA-L
methylarsonite	InChIKey=OMPSDEOAXJHSLH-UHFFFAOYSA-N
hydrogensulfite	InChIKey=LSNNMFCWUKXFEE-UHFFFAOYSA-M
p-hydroxymercuribenzoate	InChIKey=WMHRYLDWLOGHSG-UHFFFAOYSA-L
31-norcycloartanone	InChIKey=MCZKAQHKWYEXEU-XJXRDSNCSA-N
prenylated FMNH<sub>2</sub>	InChIKey=GLNFBGKHGHVPRL-IYOUNJFTSA-L
P<sup>1</sup>,P<sup>3</sup>-<i>bis</i>(5'-adenosyl) triphosphate	InChIKey=QCICUPZZLIQAPA-XPWFQUROSA-K
(L-cysteinyl)adenylate	InChIKey=CHQCHJWWSCSGOJ-MACXSXHHSA-N
2-<i>all trans</i>-hexaprenyl-6-methoxy-3-methylaminophenol	InChIKey=NEHNYHODQZCAIT-NSUIJKAQSA-N
12,13-DiHOME	InChIKey=CQSLTKIXAJTQGA-FLIBITNWSA-M
palmitate	InChIKey=IPCSVZSSVZVIGE-UHFFFAOYSA-M
18-hydroxyoleoyl-CoA	InChIKey=MQACSUXWIYYZAK-UTNXWDCOSA-J
phenylacetate	InChIKey=WLJVXDMOQOGPHL-UHFFFAOYSA-M
hydrogen selenide	InChIKey=SPVXKVOXSXTJOY-UHFFFAOYSA-N
4-hydroxybenzoate	InChIKey=FJKROLUGYXJWQN-UHFFFAOYSA-M
ethyl decanoate	InChIKey=RGXWDWUGBIJHDO-UHFFFAOYSA-N
4-(2-aminophenyl)-2,4-dioxobutanoate	InChIKey=CAOVWYZQMPNAFJ-UHFFFAOYSA-M
(<i>R</i>)-<i>S</i>-lactoylglutathione	InChIKey=VDYDCVUWILIYQF-CSMHCCOUSA-M
4&alpha;-methyl-zymosterol	InChIKey=FOUJWBXBKVVHCJ-YIJYGBTNSA-N
3-deoxy-&alpha;-D-<i>manno</i>-2-octulosonate	InChIKey=NNLZBVFSCVTSLA-HXUQBWEZSA-M
<i>O</i>-phospho-L-serine	InChIKey=BZQFBWGGLXLEPQ-REOHCLBHSA-L
30-hydroxylanosterol	InChIKey=DWVYYKFZEDMMPU-PUXRVUTHSA-N
fumarate	InChIKey=VZCYOOQTPOCHFL-OWOJBTEDSA-L
iron(III)-enterobactin complex	InChIKey=NGILTSZTOFYVBF-UVJOBNTFSA-H
(2<i>E</i>,5<i>Z</i>)-tetradec-2,5-enoyl-CoA	InChIKey=JVEFYXPCQBMMAA-ZMLWRGBOSA-J
roseoflavin	InChIKey=IGQLDUYTWDABFK-GUTXKFCHSA-M
<i>S</i>-D-mandeloylglutathione	InChIKey=YUKXYNWSJMQEBV-GYZKLXCISA-M
&gamma;-L-glutamyl 5-phosphate	InChIKey=PJRXVIJAERNUIP-VKHMYHEASA-L
<i>S</i>-lactoylglutathione hemithioacetal	InChIKey=NITDPUFIYQDBCA-UDUUBDRPSA-M
(2<i>E</i>)-icos-2-enoyl-CoA	InChIKey=ROOFWBIMBMJYGA-DSAUMYHJSA-J
(2<i>R</i>)-2,3-dihydroxy-3-methylbutanoate	InChIKey=JTEYKUFKXGDTEU-VKHMYHEASA-M
D-glyceraldehyde	InChIKey=MNQZXJOMYWMBOU-VKHMYHEASA-N
hypoxanthine	InChIKey=FDGQSTZJBFJUBT-UHFFFAOYSA-N
carbamoyl phosphate	InChIKey=FFQKYPRQEYGKAF-UHFFFAOYSA-L
guanine	InChIKey=UYTPUPDQBNUYGX-UHFFFAOYSA-N
mannose-1P	InChIKey=HXXFSFRBOHSIMQ-RWOPYEJCSA-L
(R)-3-(4-hydroxyphenyl)lactate	InChIKey=JVGVDSSUAVXRDY-MRVPVSSYSA-M
a-lgal-HEX-1:5	
dimethylarsinous acid	InChIKey=VDEGQTCMQUFPFH-UHFFFAOYSA-N
acetoacetyl-CoA	InChIKey=OJFDKHTZOUZBOS-CITAKDKDSA-J
brocresine	InChIKey=QNWOSJAGFSUDFE-UHFFFAOYSA-N
x-HEP-x:x	
1,2-dihydro-&beta;-NADP	InChIKey=SNZSFAQYVLPEBZ-FUXVTKQXSA-J
zymosterone	InChIKey=AUNLIRXIJAVBNM-ZSBATXSLSA-N
coproporphyrinogen I	InChIKey=WIUGGJKHYQIGNH-UHFFFAOYSA-J
dodecyl sulfate	InChIKey=MOTZDAYCYVMXPC-UHFFFAOYSA-M
two adjacent thymidines in DNA	
phosphoinositol-&alpha;-mannoside-phosphoinositol	InChIKey=BCJXLUMCLOOKBY-BEUVOYNRSA-L
2,5-dichloromaleylacetate	InChIKey=PLPVRWUZGSFJJB-OWOJBTEDSA-L
3-phenyl-2-oxopropanoate	InChIKey=BTNMPGBKDVTSJY-UHFFFAOYSA-M
1,2-dioleoylglycerol	InChIKey=AFSHUZFNMVJNKX-LLWMBOQKSA-N
4-<i>trans</i>-undecenoyl-CoA	InChIKey=AFMMIIQKXQNEDN-DUPKWVSKSA-J
b-dglc-HEX-1:5|6:d	
Ca<SUP>2+</SUP>	InChIKey=BHPQYMZQTOCNFJ-UHFFFAOYSA-N
&beta;-L-fucopyranose	InChIKey=SHZGCJCMOBCMKK-KGJVWPDLSA-N
5-hydroxy-CTP	InChIKey=DMFODUNDODUQKK-UAKXSSHOSA-J
OH<SUP>-</SUP>	InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-M
<i>N</i><sup>1</sup>-(1-deoxy-D-fructos-1-yl)-L-lysine	InChIKey=CBRUZJAJTKPLHF-AYHFEMFVSA-N
&alpha;-D-fructofuranose	InChIKey=RFSUNEUAIZKAJO-ZXXMMSQZSA-N
seleno-L-homocysteine	InChIKey=RCWCGLALNCIQNM-VKHMYHEASA-N
(L-threonylcarbamoyl)adenylate	InChIKey=GHLUPQUHEIJRCU-DWVDDHQFSA-L
squalene	InChIKey=YYGNTYWPHWGJRM-AAJYLUCBSA-N
(2S)-2-amino-4-deoxy-chorismate	InChIKey=OKLGKGPAZUNROU-YUMQZZPRSA-M
(L-valyl)adenylate	InChIKey=KAVINRUMCQFLGF-NIXGFCADSA-N
quinolinate	InChIKey=GJAWHXHKYYXBSV-UHFFFAOYSA-L
3',5'-cyclic GMP	InChIKey=ZOOGRGPOEVQQDX-UUOKFMHZSA-M
phytanoyl-CoA	InChIKey=NRJQGHHZMSOUEN-HHVNVSIESA-J
&gamma;-L-glutamyl-D-alanine	InChIKey=WQXXXVRAFAKQJM-UHNVWZDZSA-M
cytidine 2',3'-cyclic monophosphate	InChIKey=NMPZCCZXCOMSDQ-XVFCMESISA-M
adenosine	InChIKey=OIRDTQYFTABQOQ-KQYNXXCUSA-N
a-dglc-HEX-1:4|6:a	
sterone-ring	
ADP-&alpha;-D-glucose	InChIKey=WFPZSXYXPSUOPY-ROYWQJLOSA-L
cycloeucalenol	InChIKey=HUNLTIZKNQDZEI-PGFZVWMDSA-N
arsenite<sup>3-</sup>	InChIKey=OWTFKEBRIAXSMO-UHFFFAOYSA-N
D-erythrose	InChIKey=YTBSYETUWUMLBZ-IUYQGCFVSA-N
3-oxobehenoyl-CoA	InChIKey=RKCOGGUHKPTOQJ-GNSUAQHMSA-J
spermine	InChIKey=PFNFFQXMRSDOHW-UHFFFAOYSA-R
x-dglc-HEX-1:5	
a-dglc-HEX-1:5|6:a	
